mits|json
"mits in de FGR Getijdengebied en mits gelegen in het verlengde van een rivier waarvan het water een sterke en continue invloed op het habitattype heeft, voorzover gelegen onder de gemiddelde hoogwaterlijn; potentieel"|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Getijdengebied""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits in de slikkige en fijnzandige delen van FGR Getijdengebied of FGR Noordzee voorzover gelegen tussen de op Lowest Astronomical Tide gebaseerde laagwaterlijn en de gemiddelde hoogwaterlijn, en mits geen onderdeel van H1130 en H1160|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""OfCriteria"",
            ""sub_criteria"": [
                {
                    ""type"": ""FGRCriterium"",
                    ""fgrtype"": ""Getijdengebied""
                },
                {
                    ""type"": ""FGRCriterium"",
                    ""fgrtype"": ""Noordzee""
                }
            ]
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
"mits in de FGR Getijdengebied en mits in een inham met gedempt getij en geen sterke invloed van rivierwater; potentieel"|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Getijdengebied""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits in de FGR Getijdengebied en mits gelegen in het verlengde van een rivier waarvan het water een sterke en continue invloed op het habitattype heeft, voorzover gelegen onder de gemiddelde hoogwaterlijn|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Getijdengebied""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits in de FGR Getijdengebied en mits in een inham met gedempt getij en geen sterke invloed van rivierwater|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Getijdengebied""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits niet in fijnschalig mozaÃ¯ek met goede zelfstandige vegetaties van H3130|"{
    ""type"": ""Placeholder""
}"
mits in vochtige duinvalleien|"{
    ""type"": ""Placeholder""
}"
mits niet in vochtige duinvalleien|"{
    ""type"": ""Placeholder""
}"
mits in vlakvormige wateren, of in lijnvormige wateren voorzover de begroeiing aansluit bij die van het aangrenzende vlakvormige water|"{
    ""type"": ""Placeholder""
}"
mits in beken of riviertjes en mits met waterranonkel- of sterrenkroossoorten|"{
    ""type"": ""Placeholder""
}"
mits in rivieren of nevengeul|"{
    ""type"": ""Placeholder""
}"
mits in vlakvormige wateren, of in lijnvormige wateren voorzover de begroeiing aansluit bij die van het aangrenzende vlakvormige water, en minstens Ã©Ã©n van de volgende plantensoorten aanwezig is: doorgroeid fonteinkruid, gegolfd fonteinkruid, glanzig fonteinkruid of langstengelig fonteinkruid|"{
    ""type"": ""Placeholder""
}"
mits in beken of riviertjes en mits met waterrankel- of sterrenkroossoorten|"{
    ""type"": ""Placeholder""
}"
mits in beken of riviertjes|"{
    ""type"": ""Placeholder""
}"
mits niet in lijnvormige wateren|"{
    ""type"": ""Placeholder""
}"
mits niet in vochtige duinvalleien en niet in lijnvormige wateren|"{
    ""type"": ""Placeholder""
}"
mits in combinatie met andere vegetaties van H3130 en niet in lijnvormige wateren|"{
    ""type"": ""Placeholder""
}"
mits in vennen en in combinatie met andere vegetaties van H3160|"{
    ""type"": ""Placeholder""
}"
mits het Hoogveenmos-verbond aanwezig is, het onderdeel van een hoogveenlandschap is en een acrotelm aanwezig is|"{
    ""type"": ""Placeholder""
}"
mits in herstellend hoogveen|"{
    ""type"": ""Placeholder""
}"
mits niet in mozaÃ¯ek met vegetaties van H3110 en mits geen onderdeel van H7120 en niet in lijnvormige wateren|"{
    ""type"": ""Placeholder""
}"
mits in vennen en niet in mozaÃ¯ek met vegetaties van H3130|"{
    ""type"": ""Placeholder""
}"
mits in het open water van vochtige duinvalleien|"{
    ""type"": ""Placeholder""
}"
