SOORTNR,FLORON,WETENSCHAP,NEDERLANDS,zeldzaamheidsklasse,trendklasse,RL2000,RL2000kort
1,,"Acer campestre","Spaanse aak",,,,
2,,"Acer pseudoplatanus","Gewone esdoorn",,,,
3,,"Aceras anthropophorum","Poppenorchis","zzz","t","KW-5","KW"
4,,"Achillea millefolium","Gewoon duizendblad",,,,
5,,"Achillea ptarmica","Wilde bertram",,,,
6,,"Aconitum vulparia","Gele monnikskap","zzz","t","KW-5","KW"
7,,"Acorus calamus","Kalmoes",,,,
8,,"Actaea spicata","Christoffelkruid","zzz","t","KW-5","KW"
9,,"Adonis vernalis","Voorjaarsadonis",,,,
10,,"Adoxa moschatellina","Muskuskruid",,,,
11,,"Aegopodium podagraria","Zevenblad",,,,
12,,"Aethusa cynapium","Hondspeterselie",,,,
13,,"Agrimonia eupatoria","Gewone agrimonie","a","tt","GE-12","GE"
14,,"Agrimonia procera","Welriekende agrimonie","zz","t","KW-6","KW"
15,,"Agrostemma githago","Bolderik","zzz","ttt","EB-13","EB"
16,,"Agrostis canina + Agrostis vinealis","Moeras- + Zandstruisgras",,,,
17,,"Agrostis gigantea","Hoog struisgras",,,,
18,,"Agrostis stolonifera","Fioringras",,,,
19,,"Agrostis capillaris","Gewoon struisgras",,,,
20,,"Aira caryophyllea","Zilverhaver",,,,
21,,"Aira praecox","Vroege haver",,,,
22,,"Ajuga chamaepitys","Akkerzenegroen","zzz","tt","BE-9","BE"
23,,"Ajuga genevensis","Harig zenegroen",,,,
24,,"Ajuga reptans","Kruipend zenegroen",,,,
26,,"Alisma gramineum","Smalle waterweegbree",,,,
27,,"Alisma lanceolatum","Slanke waterweegbree",,,,
28,,"Alisma plantago-aquatica","Grote waterweegbree",,,,
29,,"Alliaria petiolata","Look-zonder-look",,,,
30,,"Allium carinatum","Berglook",,,,
31,,"Allium oleraceum","Moeslook","z","t","KW-7","KW"
32,,"Allium schoenoprasum","Bieslook",,,,
33,,"Allium scorodoprasum","Slangelook",,,,
34,,"Allium ursinum","Daslook",,,,
35,,"Allium vineale","Kraailook",,,,
36,,"Alnus glutinosa","Zwarte els",,,,
37,,"Alnus incana","Witte els",,,,
