intern_id,ElmID,Datum,Locatietype,SamengesteldeLegenda,VereenvoudigdeLegenda,ToevoegingLegenda,InterpretatieLegenda,AbiotiekLegenda,Oppervlakte,SbbType
2,1002,"10/22/13 00:00:00","v","50A-1","1","e1",,,4.5327580000000003e+00,"50A"
6,1006,"10/22/13 00:00:00","v","32-6","19","e1+nt+o2",,,3.7089600000000000e-01,"32-f"
7,1007,"10/22/13 00:00:00","v","08-3","7","e2+nt+q",,,1.3764199999999999e-01,"08-d"
9,1009,"10/22/13 00:00:00","v","32-2","19","e1+nt",,,2.2901700000000000e-01,"32-b"
10,2001,"10/22/13 00:00:00","v","32-4","19","e1",,,2.1949600000000000e-01,"32-e"
11,2002,"10/22/13 00:00:00","v","08-5","7","e1+q",,,9.3767500000000004e-01,"08-f"
12,2003,"10/22/13 00:00:00","l",,"0",,,,,
20,2011,"10/22/13 00:00:00","v","32-6+08-5","19","e1+q",,,9.7549699999999995e-01,"32-f+08-f"
22,2013,"10/22/13 00:00:00","v","08-5","7","e1+q",,,4.1221000000000001e-02,"08-f"
23,2014,"10/22/13 00:00:00","v","50A-1","1","e1",,,1.7312999999999999e-02,"50A"
24,2015,"10/22/13 00:00:00","v","16-1","14","e1",,,2.8641000000000003e-02,"16-m"
25,3001,"10/15/13 00:00:00","v","08-5","7","e1+q",,,5.0434440000000000e+00,"08-f"
31,3007,"10/15/13 00:00:00","v","32-4","19","e1+r4",,,5.6910000000000002e-02,"32-e"
32,3008,"10/15/13 00:00:00","v","08-5","7","e1+q",,,3.6916999999999998e-02,"08-f"
33,3009,"10/15/13 00:00:00","v","32-4","19","e1+r4",,,3.7856000000000001e-02,"32-e"
34,3010,"10/15/13 00:00:00","v","50A-1","1","e1",,,1.8751000000000000e-02,"50A"
36,4002,"10/15/13 00:00:00","v","16-1","14","e1",,,2.2438200000000003e-01,"16-m"
38,4004,"10/15/13 00:00:00","l",,"0",,,,,
39,4005,"10/15/13 00:00:00","v","08B3-4","5","e1",,,5.0745999999999999e-02,"08B3c"
41,4007,"10/15/13 00:00:00","l",,"0",,,,,
42,4008,"10/15/13 00:00:00","v","08-6","7","e1",,,2.4575000000000000e-02,"08-a"
43,4009,"10/15/13 00:00:00","v","16-1","14","e1",,,3.4618199999999999e-01,"16-m"
49,4015,"10/15/13 00:00:00","v","08B3-4","5","e1",,,9.8622000000000001e-02,"08B3c"
51,4017,"10/15/13 00:00:00","v","50A-1","1","e1",,,4.9881300000000001e-01,"50A"
52,4018,"10/15/13 00:00:00","v","50A-1","1","e1",,,5.2121000000000001e-02,"50A"
53,5001,"10/14/13 00:00:00","v","16-2","14","e1+m",,,7.0845199999999997e-01,"16-l"
55,5003,"10/14/13 00:00:00","v","50A-1","1","e1",,,2.3152899999999998e-01,"50A"
57,5005,"10/14/13 00:00:00","v","08-6","7","e6",,,4.1709000000000003e-02,"08-a"
58,5006,"10/14/13 00:00:00","v","16-10","19","e6+p4+r2",,,8.2762000000000002e-02,"16-r"
59,6001,"10/09/13 00:00:00","v","50A-1","1","e1",,,1.7437200000000000e-01,"50A"
60,6002,"10/09/13 00:00:00","v","32-4","19","e1+m",,,1.5994999999999999e-02,"32-e"
61,6003,"10/09/13 00:00:00","v","39A-2","25","e6",,,4.7815000000000003e-02,"39A-f"
63,6005,"10/09/13 00:00:00","v","32-6","19","e6+m",,,5.2690000000000001e-02,"32-f"
64,6006,"10/09/13 00:00:00","v","16B-2","15","e1+h2+m+p3",,,4.2645000000000002e-02,"16B-b"
65,6007,"10/09/13 00:00:00","v","39A-1","24","e6+v3",,,1.2200999999999999e-01,"39A-f"
71,6013,"10/09/13 00:00:00","v","08B3-3","5","e5+o4+q+v1",,,7.3038000000000006e-02,"08B3c"
72,6014,"10/09/13 00:00:00","v","16-5","14","e1+m",,,5.7013999999999995e-02,"16-g"
73,6015,"10/09/13 00:00:00","v","01A2-1","2","e1",,,2.0537000000000000e-02,"01A2"
74,6016,"10/09/13 00:00:00","v","16-5","14","e1+m+p2",,,4.0385599999999999e-01,"16-g"
75,6017,"10/09/13 00:00:00","l",,"0",,,,,
76,6018,"10/09/13 00:00:00","v","36A2-2","21","e2+v2",,,1.0023000000000000e-01,"36A2"
77,6019,"10/09/13 00:00:00","v","09A2-1","10","e6+h2+o3+v4",,,6.0486999999999999e-02,"09A2a"
78,6020,"10/09/13 00:00:00","v","40A-1","24","e6+v4",,,2.4550200000000000e-01,"40A-b"
81,6023,"10/09/13 00:00:00","v","09A2-2","10","e5+v4",,,3.2241799999999998e-01,"09A2b"
89,6031,"10/14/13 00:00:00","v","09A2-6","10","e5+h2+q+v3",,,1.4859000000000000e-01,"09A2a"
91,6033,"10/14/13 00:00:00","v","39A-2","25","e5+nt",,,1.8642300000000001e-01,"39A-f"
95,6037,"10/14/13 00:00:00","v","39A1-1","22","e6",,,1.7295500000000000e-01,"39A1a"
96,6038,"10/14/13 00:00:00","l",,"0",,,,,
98,6040,"10/14/13 00:00:00","v","09-13","7","e6+h2+nt+q",,,1.9229900000000000e-01,"09-g"
99,6041,"10/14/13 00:00:00","v","39A-2","25","e6+nt",,,4.3595699999999998e-01,"39A-f"
103,6045,"10/14/13 00:00:00","v","50A-1","1","e1",,,6.0884000000000001e-02,"50A"
