Locatie,SoortCode,Bedekking,Aantalsklasse,Bedekking_num
12,1099,"o","3",3
38,326,"r","3",1
38,1099,"s","2",1
40,1226,"r","3",1
41,326,"s","2",1
66,418,"o","4",3
66,420,"f","4",8
66,688,"o","4",3
67,420,"r","3",1
67,427,"f","4",8
69,420,"f","4",8
69,427,"o","3",3
71,219,"o","4",3
71,427,"f","4",8
75,346,"r","3",1
75,1255,"o","4",3
75,1275,"o","4",3
77,427,"o","3",3
77,688,"o","3",3
81,346,"o","4",3
82,420,"r","2",1
82,427,"o","4",3
82,688,"o","4",3
82,1099,"r","2",1
83,418,"r","3",1
83,420,"o","3",3
83,427,"o","4",3
83,688,"a","5",15
84,212,"f","4",8
85,212,"r","3",1
85,427,"f","5",8
87,420,"r","2",1
88,212,"o","3",3
88,427,"o","3",3
90,427,"o","4",3
92,212,"f","4",8
92,427,"o","4",3
96,178,"a","5",15
120,418,"lf","4",3
120,420,"o","3",3
120,473,"lf","4",3
121,418,"s","1",1
121,420,"f","5",8
121,427,"f","5",8
121,688,"lf","4",3
123,427,"la","4",9
124,427,"o","3",3
126,427,"s","2",1
130,688,"o","3",3
131,420,"o","2",3
135,1099,"s","1",1
137,420,"r","3",1
141,420,"lf","4",3
143,346,"s","3",1
143,420,"f","5",8
149,418,"lf","5",3
149,420,"s","1",1
150,418,"o","4",3
150,420,"o","4",3
150,688,"lf","4",3
152,418,"la","5",9
158,346,"r","3",1
158,418,"r","2",1
158,1385,"r","3",1
159,688,"r","3",1
160,420,"lf","4",3
160,427,"lf","4",3
160,688,"lf","4",3
161,427,"o","3",3
163,427,"r","2",1
164,427,"f","4",8
165,427,"lf","4",3
169,427,"o","3",3
177,420,"r","3",1
184,427,"f","4",8
184,1099,"s","1",1
185,1099,"r","2",1
186,427,"f","4",8
186,1099,"r","2",1
188,418,"r","3",1
188,420,"f","5",8
188,427,"lf","4",3
189,420,"r","3",1
189,688,"o","4",3
190,420,"f","4",8
190,1099,"s","1",1
191,418,"o","3",3
191,420,"f","3",8
191,688,"o","4",3
192,427,"f","3",8
192,688,"a","4",15
192,1385,"o","3",3
194,346,"o","3",3
194,420,"o","4",3
194,427,"o","3",3
194,688,"a","5",15
195,418,"o","3",3
195,420,"o","3",3
196,418,"o","3",3
196,420,"f","3",8
196,427,"o","3",3
196,688,"o","3",3
196,1324,"r","4",1
199,420,"o","3",3
199,427,"f","4",8
199,688,"a","4",15
200,420,"f","4",8
200,688,"o","3",3
206,427,"f","4",8
206,688,"f","4",8
206,1099,"o","3",3
207,427,"o","3",3
207,688,"o","3",3
211,420,"f","3",8
211,688,"f","3",8
212,427,"a","4",15
212,688,"a","4",15
213,420,"o","3",3
213,427,"o","3",3
213,688,"f","5",8
214,688,"o","3",3
215,212,"f","4",8
216,212,"f","4",8
217,420,"o","3",3
217,427,"r","3",1
217,1099,"o","3",3
218,420,"o","4",3
218,427,"o","4",3
218,688,"o","4",3
220,1255,"a","4",15
221,427,"f","3",8
221,688,"f","4",8
223,688,"a","5",15
224,420,"o","3",3
224,427,"o","3",3
224,688,"f","4",8
226,1255,"o","3",3
227,688,"f","5",8
228,427,"f","4",8
228,688,"a","5",15
228,1099,"o","3",3
229,427,"o","3",3
229,688,"a","4",15
230,427,"f","4",8
230,688,"a","5",15
231,688,"o","3",3
233,212,"f","4",8
234,1255,"f","3",8
235,212,"f","4",8
235,427,"o","4",3
235,688,"r","3",1
236,420,"r","2",1
236,427,"o","3",3
237,212,"la","4",9
239,427,"r","2",1
242,346,"o","3",3
242,420,"o","4",3
242,427,"o","3",3
242,688,"r","3",1
242,3174,"r","4",1
244,212,"f","3",8
245,212,"o","3",3
245,688,"f","4",8
245,1324,"s","3",1
247,212,"o","3",3
247,427,"o","3",3
247,688,"lf","4",3
247,1324,"s","3",1
249,427,"o","3",3
250,427,"f","5",8
250,688,"lf","4",3
251,420,"o","4",3
251,427,"o","3",3
251,688,"o","3",3
252,1255,"d","5",60
260,212,"a","5",15
262,212,"f","4",8
263,212,"f","4",8
267,427,"o","3",3
269,212,"a","5",15
269,427,"o","3",3
270,212,"f","4",8
270,427,"r","3",1
271,1255,"a","5",15
276,427,"o","3",3
281,1255,,,40
282,420,"o","3",3
282,427,"o","3",3
283,427,"lf","4",3
285,178,"r","3",1
288,427,"o","3",3
288,1255,"ld","5",22
289,427,"o","3",3
293,346,"s","2",1
298,427,"o","4",3
302,427,"la","5",9
303,427,"la","5",9
305,3011,"o","4",3
305,420,"s","1",1
305,626,"a","5",15
309,427,"lf","4",3
310,427,"r","2",1
311,248,"o","3",3
311,473,"f","5",8
313,427,"o","3",3
313,688,"o","3",3
314,427,"f","4",8
316,346,"lf","4",3
316,427,"lf","5",3
316,688,"lf","5",3
316,1099,"r","2",1
318,427,"r","2",1
319,427,"lf","4",3
327,427,"ld","5",22
328,427,"lf","4",3
328,1255,"s","1",1
329,427,"lf","4",3
330,427,"lf","4",3
333,346,"o","3",3
333,418,"lf","4",3
333,420,"lf","4",3
333,427,"o","3",3
333,688,"lf","4",3
334,427,"o","3",3
341,420,"o","3",3
342,418,"r","2",1
342,420,"f","5",8
342,427,"o","3",3
342,688,"f","5",8
343,427,"d","5",60
343,1255,"r","3",1
344,688,"f","5",8
345,427,"o","4",3
345,688,"f","5",8
346,427,"r","2",1
346,688,"r","2",1
347,427,"f","5",8
348,346,"o","3",3
