Locatie,Toevoeging
1,"e1"
2,"e1"
3,"e1"
3,"o2"
3,"q"
4,"e1"
4,"o4"
4,"q"
5,"e1"
6,"e1"
6,"o2"
6,"nt"
7,"e2"
7,"q"
7,"nt"
8,"e1"
8,"o4"
8,"q"
8,"nt"
9,"e1"
9,"nt"
10,"e1"
11,"e1"
11,"q"
13,"e1"
13,"q"
14,"e1"
14,"q"
15,"e1"
15,"q"
16,"e1"
16,"q"
17,"e1"
17,"q"
18,"e1"
18,"o2"
18,"q"
19,"e1"
19,"o2"
19,"q"
20,"e1"
20,"q"
21,"e1"
21,"q"
22,"e1"
22,"q"
23,"e1"
24,"e1"
25,"e1"
25,"q"
26,"e1"
26,"q"
27,"e1"
27,"q"
28,"e1"
29,"e1"
29,"r2"
29,"p3"
30,"e1"
30,"r2"
30,"q"
31,"e1"
31,"r4"
32,"e1"
32,"q"
33,"e1"
33,"r4"
34,"e1"
35,"e1"
35,"p2"
36,"e1"
37,"e1"
39,"e1"
40,"e1"
40,"p2"
40,"nt"
42,"e1"
43,"e1"
44,"e1"
44,"p3"
45,"e1"
45,"nt"
46,"e1"
46,"p2"
47,"e1"
48,"e1"
49,"e1"
50,"e1"
51,"e1"
52,"e1"
53,"e1"
53,"m"
54,"e2"
54,"o2"
54,"p2"
55,"e1"
56,"e2"
56,"o2"
56,"nt"
57,"e6"
58,"e6"
58,"r2"
58,"p4"
59,"e1"
60,"e1"
60,"m"
61,"e6"
62,"e6"
63,"e6"
63,"m"
64,"e1"
64,"h2"
64,"p3"
64,"m"
65,"e6"
65,"v3"
66,"e6"
66,"v4"
66,"h2"
67,"e5"
67,"o2"
67,"v4"
67,"h3"
68,"e6"
68,"v4"
68,"q"
69,"e6"
69,"v4"
69,"h2"
70,"e1"
70,"v3"
70,"h2"
70,"q"
71,"e5"
71,"o4"
71,"v1"
71,"q"
72,"e1"
72,"m"
73,"e1"
74,"e1"
74,"p2"
74,"m"
76,"e2"
76,"v2"
77,"e6"
77,"o3"
77,"v4"
77,"h2"
78,"e6"
78,"v4"
79,"e6"
79,"o2"
79,"v4"
79,"q"
81,"e5"
81,"v4"
82,"e6"
82,"v4"
82,"h3"
83,"e6"
83,"v4"
83,"h2"
84,"e6"
84,"h2"
85,"e6"
85,"v1"
85,"q"
86,"e6"
86,"v2"
87,"e6"
87,"v4"
87,"h2"
87,"q"
88,"e6"
88,"h2"
88,"q"
89,"e5"
89,"v3"
89,"h2"
89,"q"
90,"e3"
90,"h3"
90,"q"
91,"e5"
91,"nt"
92,"e2"
92,"o2"
92,"v1"
92,"q"
93,"e1"
94,"e1"
95,"e6"
97,"e6"
97,"q"
98,"e6"
98,"h2"
98,"q"
98,"nt"
99,"e6"
99,"nt"
100,"e6"
100,"nt"
101,"e6"
101,"nt"
102,"e6"
103,"e1"
104,"e2"
104,"nt"
105,"e4"
105,"v3"
105,"q"
106,"e1"
106,"v4"
107,"e1"
107,"o2"
108,"e1"
109,"e1"
109,"o3"
109,"q"
110,"e1"
110,"v1"
110,"q"
111,"e1"
111,"q"
112,"e1"
113,"e1"
114,"e1"
114,"v1"
115,"e1"
115,"v4"
116,"e1"
116,"v4"
116,"q"
117,"e2"
117,"v4"
117,"t"
118,"e1"
119,"e1"
120,"e1"
120,"v4"
120,"h2"
120,"m"
121,"e1"
122,"e1"
122,"v4"
122,"q"
123,"e1"
123,"v4"
124,"e1"
124,"v2"
125,"e1"
126,"e1"
127,"e1"
128,"e1"
129,"e1"
129,"v4"
130,"e5"
130,"v4"
130,"p2"
131,"e6"
131,"o2"
131,"v4"
132,"e1"
132,"v2"
133,"e1"
133,"v4"
133,"q"
134,"e1"
134,"v4"
134,"q"
135,"e1"
135,"v1"
135,"t"
136,"e1"
136,"v4"
137,"e1"
137,"o2"
137,"v4"
137,"h2"
137,"q"
138,"e1"
138,"v3"
138,"p2"
138,"q"
139,"e1"
139,"v1"
139,"q"
140,"e1"
141,"e1"
141,"v4"
143,"e1"
143,"v4"
144,"e1"
144,"o2"
144,"v2"
144,"q"
145,"e1"
145,"v3"
145,"p3"
146,"e1"
146,"v1"
146,"p4"
147,"e1"
147,"q"
148,"e1"
148,"o2"
148,"v1"
148,"q"
149,"e1"
149,"v4"
150,"e1"
150,"o2"
150,"v4"
151,"e1"
151,"v4"
152,"e5"
152,"v4"
153,"e1"
153,"v1"
153,"r4"
154,"e1"
155,"e1"
155,"v1"
155,"p4"
156,"e1"
156,"v1"
157,"e1"
157,"v4"
158,"e1"
158,"v4"
158,"p2"
159,"e1"
159,"v1"
160,"e5"
160,"v4"
160,"h2"
160,"q"
161,"e1"
161,"v4"
162,"e1"
162,"r4"
163,"e1"
163,"r3"
163,"q"
164,"e1"
164,"o3"
164,"q"
165,"e1"
165,"v3"
166,"e1"
166,"q"
167,"e1"
167,"r3"
167,"t"
168,"e1"
168,"nt"
169,"e1"
169,"v4"
170,"e1"
170,"v1"
170,"t"
170,"q"
171,"e1"
171,"v1"
171,"q"
172,"e1"
172,"q"
173,"e1"
173,"v4"
173,"q"
174,"e1"
174,"v2"
174,"q"
175,"e1"
175,"v3"
176,"e1"
176,"v1"
176,"q"
177,"e1"
177,"v4"
177,"q"
178,"e1"
178,"v3"
179,"e1"
179,"v3"
179,"q"
180,"e1"
180,"v1"
180,"q"
181,"e1"
181,"v3"
181,"q"
182,"e1"
182,"o4"
182,"v4"
182,"q"
183,"e1"
183,"o2"
183,"v4"
183,"q"
185,"e1"
187,"e1"
187,"q"
188,"e1"
188,"v4"
188,"h2"
189,"e6"
189,"h3"
190,"e6"
190,"v4"
190,"h2"
191,"e6"
191,"v4"
191,"h2"
192,"e4"
192,"v3"
192,"h2"
194,"e6"
194,"v3"
194,"h2"
195,"e6"
195,"o2"
195,"v4"
196,"e5"
196,"v4"
198,"e1"
199,"e6"
199,"v3"
200,"e6"
200,"v4"
201,"e6"
202,"e6"
203,"e1"
204,"e1"
205,"e1"
206,"o3"
206,"v2"
206,"e1"
207,"e6"
207,"o3"
208,"e1"
209,"e6"
210,"e1"
210,"h3"
211,"e6"
211,"v4"
211,"h2"
212,"e6"
212,"v1"
212,"h2"
213,"e6"
213,"v4"
213,"h3"
214,"e1"
214,"h2"
215,"e1"
215,"m"
216,"e5"
216,"v1"
217,"e6"
217,"o2"
217,"v3"
217,"h2"
218,"e6"
218,"v4"
218,"h2"
219,"e6"
219,"v4"
221,"e6"
221,"v3"
222,"e6"
222,"v1"
223,"e6"
223,"v2"
223,"h4"
224,"e6"
224,"v4"
224,"h3"
225,"e1"
225,"m"
226,"e1"
227,"e1"
227,"v1"
227,"h4"
228,"v1"
228,"h3"
228,"e1"
229,"e6"
229,"v3"
229,"h2"
230,"e6"
230,"v2"
230,"h2"
231,"e1"
232,"e1"
233,"e1"
233,"m"
235,"e6"
235,"v3"
235,"h2"
236,"e6"
236,"v4"
237,"e6"
237,"v4"
238,"e6"
238,"v4"
239,"e6"
239,"v1"
240,"e6"
240,"v1"
241,"e6"
241,"v1"
242,"e5"
242,"v4"
242,"h3"
244,"e6"
245,"e6"
245,"v2"
247,"e6"
247,"v2"
247,"h2"
248,"e6"
249,"e6"
249,"h3"
250,"e5"
250,"v2"
250,"h3"
251,"e6"
251,"v4"
251,"h2"
252,"e1"
253,"nt"
253,"e1"
254,"nt"
254,"e1"
255,"nt"
255,"e1"
256,"e6"
257,"e1"
258,"e1"
259,"e1"
260,"e1"
261,"e1"
262,"e6"
263,"e1"
264,"e6"
265,"e1"
266,"e6"
266,"nt"
267,"e6"
267,"v4"
268,"e1"
269,"e1"
269,"v4"
270,"e4"
270,"v1"
272,"nt"
272,"e1"
273,"e1"
274,"e2"
274,"o2"
274,"nt"
275,"v3"
275,"nt"
275,"e1"
276,"o3"
276,"nt"
276,"e1"
277,"o2"
277,"nt"
277,"e1"
278,"e1"
278,"m"
279,"e1"
279,"v1"
280,"e1"
280,"v1"
282,"e3"
282,"v3"
283,"e3"
283,"v1"
284,"e6"
284,"v1"
285,"e1"
285,"h2"
286,"e1"
286,"v1"
287,"e1"
287,"v3"
288,"e1"
288,"v3"
288,"q"
289,"e2"
289,"v3"
289,"q"
290,"e1"
290,"v3"
291,"e1"
291,"q"
292,"e1"
292,"v1"
292,"m"
293,"e1"
293,"v1"
293,"m"
294,"e1"
294,"v4"
295,"e1"
295,"v3"
296,"e3"
296,"v2"
296,"t"
297,"e1"
297,"v3"
298,"e3"
298,"v4"
299,"e1"
299,"v3"
299,"nt"
300,"e1"
300,"v3"
300,"nt"
301,"e2"
301,"v2"
301,"q"
302,"e2"
302,"o4"
302,"v1"
302,"t"
302,"nt"
303,"e2"
303,"o4"
303,"v1"
303,"t"
303,"nt"
304,"e1"
304,"v4"
304,"m"
305,"e1"
305,"v4"
305,"m"
306,"e1"
306,"v4"
307,"e1"
307,"v1"
307,"m"
308,"e1"
308,"v1"
309,"e1"
309,"v4"
310,"e1"
310,"v1"
311,"e5"
311,"v4"
311,"m"
312,"e1"
312,"m"
313,"e1"
313,"v4"
314,"e1"
314,"v4"
314,"h2"
314,"t"
315,"e1"
315,"v1"
315,"t"
316,"e1"
316,"v2"
316,"h3"
316,"t"
317,"e1"
317,"v1"
317,"h3"
317,"q"
318,"e1"
318,"v2"
318,"h3"
319,"e1"
319,"v1"
319,"h2"
319,"q"
320,"e1"
321,"e1"
321,"v4"
321,"q"
322,"e1"
322,"v2"
322,"h2"
322,"q"
323,"e1"
323,"o2"
323,"v1"
323,"q"
324,"e1"
324,"v3"
324,"h2"
324,"p2"
324,"q"
325,"e1"
325,"v3"
325,"q"
326,"e1"
326,"v4"
327,"e1"
327,"v1"
327,"t"
328,"e1"
328,"v2"
329,"e1"
329,"v4"
329,"q"
330,"e1"
330,"v4"
331,"e1"
331,"v4"
332,"e1"
332,"o3"
332,"v1"
332,"q"
333,"e1"
333,"v4"
333,"h2"
334,"e1"
334,"v4"
335,"e1"
335,"v4"
335,"q"
336,"e1"
336,"v4"
336,"q"
337,"e1"
337,"v4"
338,"e1"
338,"v4"
339,"e1"
339,"v2"
340,"e1"
340,"v4"
341,"e1"
341,"v2"
342,"e1"
342,"v4"
342,"h2"
343,"e1"
343,"v1"
344,"e1"
344,"v3"
344,"h3"
345,"e1"
345,"v1"
345,"h4"
345,"q"
346,"e2"
346,"v3"
346,"h4"
347,"e2"
347,"v1"
348,"e1"
348,"v4"
348,"t"
349,"e1"
349,"v4"
350,"e1"
350,"v2"
351,"e1"
351,"v4"
351,"q"
352,"e1"
352,"v4"
352,"q"
353,"e1"
353,"v2"
353,"q"
354,"e1"
354,"v4"
354,"q"
355,"e1"
355,"v4"
355,"q"
356,"e1"
356,"v4"
356,"q"
357,"e1"
357,"v4"
357,"t"
357,"q"
358,"e1"
358,"v4"
358,"q"
360,"e1"
361,"e1"
361,"o2"
362,"e1"
362,"o2"
362,"v3"
362,"q"
363,"e1"
363,"q"
365,"e1"
365,"v4"
366,"e2"
366,"v4"
366,"t"
367,"e1"
367,"v1"
368,"e2"
368,"v4"
368,"h2"
368,"t"
369,"e1"
369,"t"
370,"e1"
370,"p3"
370,"m"
371,"e3"
371,"v4"
371,"t"
372,"e1"
372,"v4"
372,"t"
373,"o2"
373,"nt"
373,"e1"
374,"e4"
374,"v2"
374,"t"
375,"e1"
375,"v4"
375,"h2"
376,"e1"
376,"v3"
376,"q"
377,"e2"
377,"v1"
377,"t"
377,"q"
378,"e1"
378,"v4"
378,"t"
379,"e1"
379,"v4"
380,"e1"
381,"e1"
381,"o3"
381,"q"
382,"e1"
382,"q"
383,"e1"
384,"e2"
384,"q"
384,"nt"
