Locatie,Vegetatietype,Bedekking,Bedekking_num
1,"33-1","d",90
1,"16-1","l",10
2,"50A-1","d",100
3,"32-6","d",90
3,"32B-1","l",10
4,"32-6","l",10
4,"38A-1","d",90
5,"50A-1","d",100
6,"32-6","d",100
7,"08-3","d",100
8,"32-6","l",10
8,"38A-1","d",90
9,"32-2","d",100
10,"32-4","d",100
11,"08-5","d",100
13,"08-5","d",90
13,"32-6","l",10
14,"08-5","d",90
14,"32-7","l",10
15,"32-4","l",10
15,"08-5","d",80
15,"32-6","l",10
16,"08-2","d",90
16,"50A-1","l",10
17,"08-2","d",90
17,"50A-1","l",10
18,"08-5","d",90
18,"32-7","l",10
19,"32-4","d",90
19,"32-6","l",10
20,"08-5","c",40
20,"32-6","h",60
21,"08-5","d",90
21,"32-7","l",10
22,"08-5","d",100
23,"50A-1","d",100
24,"16-1","d",100
25,"08-5","d",100
26,"16-13","d",90
26,"32-6","l",10
27,"08B3-4","l",10
27,"32-6","d",90
28,"16-5","d",90
28,"16-13","l",10
29,"32-4","l",10
29,"16-5","d",90
30,"32-4","l",10
30,"08-5","d",90
31,"32-4","d",100
32,"08-5","d",100
33,"32-4","d",100
34,"50A-1","d",100
35,"16-11","l",10
35,"08-6","d",90
36,"16-1","d",100
37,"08-6","l",10
37,"08B3-4","d",90
39,"08B3-4","d",100
40,"16-11","l",10
40,"08-6","l",10
40,"50A-1","d",80
42,"08-6","d",100
43,"16-1","d",100
44,"16-11","d",90
44,"08-6","l",10
45,"08B3-4","d",90
45,"32B-1","l",10
46,"16-11","l",10
46,"08-6","d",90
47,"08-6","l",10
47,"08B3-4","d",90
48,"16-1","d",100
49,"08B3-4","d",100
50,"16-5","d",90
50,"08C-2","l",10
51,"50A-1","d",100
52,"50A-1","d",100
53,"16-2","d",100
54,"08B3-4","d",90
54,"08C-11","l",10
55,"50A-1","d",100
56,"08B3-4","d",90
56,"08C-11","l",10
57,"08-6","d",100
58,"16-10","d",100
59,"50A-1","d",100
60,"32-4","d",100
61,"39A-2","d",100
62,"36A2-2","d",90
62,"39A1-1","l",10
63,"32-6","d",100
64,"16B-2","d",100
65,"39A-1","d",100
66,"09A2-2","d",90
66,"09A2-8","l",10
67,"09A2-2","l",10
67,"09A2-8","d",90
68,"40A-1","l",10
68,"39A-1","d",80
68,"09A2-8","l",10
69,"09A2-1","d",90
69,"09A2-6","l",10
70,"08-5","l",10
70,"09A2-6","d",90
71,"08B3-3","d",100
72,"16-5","d",100
73,"01A2-1","d",100
74,"16-5","d",100
76,"36A2-2","d",100
77,"09A2-1","d",100
78,"40A-1","d",100
79,"09A2-2","l",10
79,"09A2-8","d",90
81,"09A2-2","d",100
82,"09A2-2","l",10
82,"09-13","l",10
82,"09A2-8","d",80
