samengesteld,gegevens,omschrijving,aantal,vereenvoudigd,LandTypeNed,LandTypeWet,opp,SbbType,Bedekking_num
"39A-8+36A2-2","vegetatie","Zwarte els, Moerasvaren en/of Grote zeggen Moeraszegge+Grauwe wilg Typische vorm",1,,"RG Moeraszegge-[Elzen-verbond]+Associatie van Grauwe wilg","RG Carex acutiformis-[Alnion glutinosae]+Salicetum cinereae",2.3310569999999999e+00,"39A-c+36A2",
"39A1-1+33-2","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Riet en ruigtkruiden bramen",1,,"Moerasvaren-elzenbroek, typische subassociatie+DG Gewone braam (R. armeniacus)-[nitrofie.zomen]","Thelypterido-Alnetum typicum+DG Rubus armeniacus-[Galio-Urticetea]",7.4117299999999997e-01,"39A1a+33/a",
"39A-1+40A-1","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zachte berk en Veenmossen Pijpenstrootje",3,,"RG Zachte berk-[Elzen-verbond]+RG Pijpestrootje-[Verbond der berkenbroekbossen]","RG Betula pubescens-[Alnion glutinosae]+RG Molinia caerulea-[Betulion pubescentis]",4.9491299999999999e-01,"39A-f+40A-b",
"08C-1+400-2+300-1+01A2-1","vegetatie","Oeverzegge Typische vorm+Jonge bosaanplant vochtige tot natte standplaatsen.+Erven, paden, parkeerplaatsen Erven, paden, parkeerplaatsen+kroossoorten Klein, Bult- en/of Veelwortelig kroos",1,,"RG Oeverzegge-[Verbond der grote Zeggen]+VOORLOPIG ONBEKEND+nvt+Associatie van Veelwortelig kroos","RG Carex riparia-[Magnocaricion]+nvt+nvt+Lemno-Spirodeletum polyrhizae",1.1532000000000001e-01,"08C-a+400+300+01A2",
"300-1+400-3","vegetatie","Erven, paden, parkeerplaatsen Erven, paden, parkeerplaatsen+Oudere (landschappelijke) beplantingen. natte standplaatsen",1,,"nvt+VOORLOPIG ONBEKEND","nvt+nvt",1.1063699999999999e-01,"300+400",
"39A-8+39A-1+08C-10","vegetatie","Zwarte els, Moerasvaren en/of Grote zeggen Moeraszegge+Zachte berk en Veenmossen Rietklassesoorten+Riet met grote zeggen Oeverzegge",1,,"RG Moeraszegge-[Elzen-verbond]+RG Zachte berk-[Elzen-verbond]+RG Oeverzegge-[Verbond der grote Zeggen]","RG Carex acutiformis-[Alnion glutinosae]+RG Betula pubescens-[Alnion glutinosae]+RG Carex riparia-[Magnocaricion]",3.7691000000000002e-01,"39A-c+39A-f+08C-a",
"39A-2+50A-1+08-5+32-4","vegetatie","Zachte berk Rietklasse-soorten+Open water Typische vorm+rietfacies Typische vorm+Rietgras Typische vorm",1,,"RG Zachte berk-[Elzen-verbond]+water+RG Riet-[Riet-klasse]+RG Rietgras-[Klasse der natte strooiselruigten]","RG Betula pubescens-[Alnion glutinosae]+nvt+RG Phragmites australis-[Phragmitetea]+RG Phalaris arundinacea-[Convol.-Filupenduletea]",3.5322399999999998e-01,"39A-f+50A+08-f+32-e",
"39A-5+50A-1","vegetatie","Zwarte els en storingsoorten bramen+Open water Typische vorm",1,,"RG Gewone braam-[Elzen-verbond]+water","RG Rubus fruticosus-[Alnion glutinosae]+nvt",2.3751399999999998e-01,"39A-b+50A",
"39A-5+39A-1+39A1-3","vegetatie","Zwarte els en storingsoorten bramen+Zachte berk en Veenmossen Rietklassesoorten+Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge",1,,"RG Gewone braam-[Elzen-verbond]+RG Zachte berk-[Elzen-verbond]+Moerasvaren-elzenbroek, subassoc. v Oeverzegge","RG Rubus fruticosus-[Alnion glutinosae]+RG Betula pubescens-[Alnion glutinosae]+Thelypterido-Alnetum caricetosum ripariae",2.1934400000000001e-01,"39A-b+39A-f+39A1c",
"39A-1+39A-5","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zwarte els en storingsoorten bramen",1,,"RG Zachte berk-[Elzen-verbond]+RG Gewone braam-[Elzen-verbond]","RG Betula pubescens-[Alnion glutinosae]+RG Rubus fruticosus-[Alnion glutinosae]",1.9165699999999999e-01,"39A-f+39A-b",
