ID,LOCTYPE,X_COORD,Y_COORD,GROEP,NUMMER,NAAM,WETENS,SBB_KL,TANSLEY,DATUM,WAARN,OPM
50001,"p",189108,540276,9.0000000000000000e+00,1099,"Waterzuring","Rumex hydrolapathum",1,"s","09/20/13 00:00:00","Wout Bijkerk","org.nr. =  8005"
50002,"p",189257,540204,9.0000000000000000e+00,1324,"Klein blaasjeskruid","Utricularia minor",4,"r","09/20/13 00:00:00","Wout Bijkerk","org.nr. =  8009"
50003,"p",189121,539973,1.0000000000000000e+01,3172,"Stijf veenmos","Sphagnum capillifolium",4,"r","09/20/13 00:00:00","Wout Bijkerk","org.nr. =  8055"
50004,"p",189192,539970,9.0000000000000000e+00,1324,"Klein blaasjeskruid","Utricularia minor",3,"s","09/20/13 00:00:00","Wout Bijkerk","org.nr. =  8058"
50005,"p",190245,540352,9.0000000000000000e+00,1324,"Klein blaasjeskruid","Utricularia minor",4,"f","10/02/13 00:00:00","Theo Jager","org.nr. =  9087"
50006,"p",190612,541094,9.0000000000000000e+00,923,"Moeraskartelblad","Pedicularis palustris",3,"s","06/12/13 00:00:00","Klaas van der Veen","org.nr. =  10008"
50007,"p",190612,541094,9.0000000000000000e+00,688,"Padderus","Juncus subnodulosus",4,"s","06/12/13 00:00:00","Klaas van der Veen","org.nr. =  10008"
50008,"p",190596,541115,9.0000000000000000e+00,923,"Moeraskartelblad","Pedicularis palustris",1,"s","06/12/13 00:00:00","Klaas van der Veen","org.nr. =  10009"
50009,"p",190675,541024,9.0000000000000000e+00,923,"Moeraskartelblad","Pedicularis palustris",3,"s","06/12/13 00:00:00","Klaas van der Veen","org.nr. =  10011"
50010,"p",190700,540981,9.0000000000000000e+00,688,"Padderus","Juncus subnodulosus",4,"s","06/12/13 00:00:00","Klaas van der Veen","org.nr. =  10012"
50011,"p",190989,540524,9.0000000000000000e+00,670,"Veldrus","Juncus acutiflorus",4,"s","06/12/13 00:00:00","Klaas van der Veen","org.nr. =  10013"
50012,"p",191022,540488,9.0000000000000000e+00,237,"Stijve zegge","Carex elata",2,"s","06/16/13 00:00:00","Klaas van der Veen","org.nr. =  10017"
50013,"p",190865,540703,9.0000000000000000e+00,1183,"Waterkruiskruid","Senecio aquaticus",2,"s","06/16/13 00:00:00","Klaas van der Veen","org.nr. =  10021"
50014,"p",190857,540718,9.0000000000000000e+00,1183,"Waterkruiskruid","Senecio aquaticus",3,"s","06/16/13 00:00:00","Klaas van der Veen","org.nr. =  10022"
50015,"p",190783,540829,9.0000000000000000e+00,1332,"Kleine valeriaan","Valeriana dioica",2,"s","06/16/13 00:00:00","Klaas van der Veen","org.nr. =  10027"
50016,"p",190786,540852,9.0000000000000000e+00,248,"Blauwe zegge","Carex panicea",3,"s","06/16/13 00:00:00","Klaas van der Veen","org.nr. =  10030"
50017,"p",190765,540855,9.0000000000000000e+00,688,"Padderus","Juncus subnodulosus",4,"s","06/16/13 00:00:00","Klaas van der Veen","org.nr. =  10031"
50018,"p",190537,540077,9.0000000000000000e+00,1324,"Klein blaasjeskruid","Utricularia minor",4,"r","09/25/13 00:00:00","Ronald Bakker","org.nr. =  11008"
50019,"p",190544,540239,9.0000000000000000e+00,1324,"Klein blaasjeskruid","Utricularia minor",3,"r","09/26/13 00:00:00","Ronald Bakker","org.nr. =  11033"
50020,"p",189372,539900,9.0000000000000000e+00,420,"Kamvaren","Dryopteris cristata",1,"s","10/08/13 00:00:00","Ronald Bakker","org.nr. =  12024"
50021,"p",189323,539965,9.0000000000000000e+00,1324,"Klein blaasjeskruid","Utricularia minor",4,"r","10/08/13 00:00:00","Ronald Bakker","org.nr. =  12025"
50022,"p",189282,539371,9.0000000000000000e+00,890,"Rietorchis","Dactylorhiza majalis subsp. pr",1,"s","08/29/13 00:00:00","Jan Erik Plantinga","org.nr. =  13010"
50023,"p",189229,539292,9.0000000000000000e+00,890,"Rietorchis","Dactylorhiza majalis subsp. pr",2,"r","08/29/13 00:00:00","Jan Erik Plantinga","org.nr. =  13012"
50024,"p",189216,539306,9.0000000000000000e+00,890,"Rietorchis","Dactylorhiza majalis subsp. pr",2,"r","08/29/13 00:00:00","Jan Erik Plantinga","org.nr. =  13013"
50025,"p",189212,539326,9.0000000000000000e+00,890,"Rietorchis","Dactylorhiza majalis subsp. pr",1,"s","08/29/13 00:00:00","Jan Erik Plantinga","org.nr. =  13014"
50026,"p",189244,539359,9.0000000000000000e+00,890,"Rietorchis","Dactylorhiza majalis subsp. pr",2,"r","08/29/13 00:00:00","Jan Erik Plantinga","org.nr. =  13015"
50027,"p",189223,539383,9.0000000000000000e+00,890,"Rietorchis","Dactylorhiza majalis subsp. pr",2,"r","08/29/13 00:00:00","Jan Erik Plantinga","org.nr. =  13016"
50028,"p",189402,539525,9.0000000000000000e+00,890,"Rietorchis","Dactylorhiza majalis subsp. pr",1,"s","08/29/13 00:00:00","Jan Erik Plantinga","org.nr. =  13019"
50029,"p",189426,539542,9.0000000000000000e+00,890,"Rietorchis","Dactylorhiza majalis subsp. pr",1,"s","08/29/13 00:00:00","Jan Erik Plantinga","org.nr. =  13020"
50030,"p",189317,539642,1.0000000000000000e+01,3011,"Hoogveenmos","Sphagnum magellanicum",4,"s","08/29/13 00:00:00","Jan Erik Plantinga","org.nr. =  13022"
50031,"p",189306,539503,9.0000000000000000e+00,1324,"Klein blaasjeskruid","Utricularia minor",4,"s","08/29/13 00:00:00","Jan Erik Plantinga","org.nr. =  13035"
