Code,Omschrijving,Klasse
"b2","Biezenknoppen","6-25%"
"b3","Biezenknoppen","26-50%"
"e1","begaanbaarheid kragge","nvt: water(vegetatie), vaste kragge of legakker"
"e2","begaanbaarheid kragge","niet begaanbaar"
"e3","begaanbaarheid kragge","alleen voorzichtig begaanbaar"
"e4","begaanbaarheid kragge","krage golvend bij lopen"
"e5","begaanbaarheid kragge","kragge golvend bij springen"
"e6","begaanbaarheid kragge","kragge trillend bij springen, niet golvend"
"h2","Hennegras","6-25%"
"h3","Hennegras","26-50%"
"h4","Hennegras","51-100%"
"m","gemaaid","gehele vlak"
"nt","niet toegankelijk","gehele vlak"
"o2","opslag","6-25%"
"o3","opslag","26-50%"
"o4","opslag","51-100%"
"p1","Pitrus","1-5%"
"p2","Pitrus","6-25%"
"p3","Pitrus","26-50%"
"p4","Pitrus","51-100%"
"q","overjarig Riet","in gehele vlak"
"r1","Rietgras","1-5%"
"r2","Rietgras","6-25%"
"r3","Rietgras","26-50%"
"r4","Rietgras","51-100%"
"t","Kleine lisdodde","in gehele vlak, binnen (veenmos)rietland"
"v1","veenmosbedekking","1-5%"
"v2","veenmosbedekking","6-20%"
"v3","veenmosbedekking","21-50%"
"v4","veenmosbedekking","51-100%"
"y1","kwel","vliesje ijzerbacterien"
"y2","kwel","roestkleuring"
"y3","kwel","uitvlokking"
