Typenummer,Code,Gemeenschap,Vorm,SbbType,SbbType2,Opmerking
37,"400-2","Jonge bosaanplant","vochtige tot natte standplaatsen.",397,,"10"
38,"400-3","Oudere (landschappelijke) beplantingen.","natte standplaatsen",397,,"10"
39,"40A-1","Zachte berk en Veenmossen","Pijpenstrootje",621,627,"10"
40,"40A-2","Zachte berk en Veenmossen","Braam",622,627,"10"
41,"40A-3","Zachte berk en Veenmossen","Wilde gagel",620,627,"10"
42,"40A2-1","Zachte berk en Veenmossen","Typische vorm",627,,"10"
43,"39A-1","Zachte berk en Veenmossen","Rietklassesoorten",609,,"10"
45,"40A-4","Zachte berk","Pijpenstrootje",621,,"10"
46,"40A-5","Zachte berk","Wilde gagel",620,,"10"
47,"39A-2","Zachte berk","Rietklasse-soorten",609,,"10"
48,"39A-3","Zwarte els en storingsoorten","Hennengras",604,,"10"
49,"39A-4","Zwarte els en storingsoorten","Brede stekelvaren",608,,"10"
50,"39A-5","Zwarte els en storingsoorten","bramen",605,,"10"
51,"39A-6","Zwarte els en storingsoorten","Grote brandnetel",607,,"10"
52,"39A-7","Zwarte els en storingsoorten","Grazige vorm",607,,"10"
53,"39A1-2","Zwarte els, Moerasvaren en/of Grote zeggen","Moeraskruiden",611,,"10"
54,"39A-8","Zwarte els, Moerasvaren en/of Grote zeggen","Moeraszegge",606,,"10"
55,"39A1-3","Zwarte els, Moerasvaren en/of Grote zeggen","Oeverzegge",613,,"10"
61,"36A-1","Wilde gagel en Grauwe wilg","veenmossen",573,,"11"
62,"36A2-1","Grauwe wilg","ruigtkruiden",571,,"11"
63,"36A2-2","Grauwe wilg","Typische vorm",571,,"11"
64,"36A2-3","Grauwe wilg","zure soorten",571,,"11"
70,"09A-1","Zwarte zegge en Moerasstruisgras","Typische vorm",133,,"6"
71,"09-1","Zwarte zegge en Moerasstruisgras","Wateraardbei",125,,"6"
72,"09-2","Zwarte zegge en Moerasstruisgras","Gewone waterbies",866,,"6"
73,"09-3","Zwarte zegge en Moerasstruisgras","Veenpluis",122,,"6"
74,"09A-3","Zwarte zegge en Moerasstruisgras","hooilandsoorten",133,,"6"
75,"09A-4","Zwarte zegge en Moerasstruisgras","Molinietaliasoorten",133,,"6"
76,"16A-1","Zwarte zegge,Moerasstruisgras en Pijpenstrootje","Typische vorm",294,133,"6"
77,"09-4","Snavelzegge","Typische vorm",125,,"6"
79,"09-6","Paddenrus","Typische vorm",142,,"6"
80,"09B2-1","Draadzegge","Typische vorm",144,,"6"
82,"09B-1","Waterdrieblad","Typische vorm",141,,"6"
85,"09B3-1","Ronde zegge en/of Rood schorpioenmos","Tweerijige zegge",146,,"4"
86,"09B3-2","Ronde zegge en/of Rood schorpioenmos","Sterrengoudmos en Goudsikkelmos",146,,"4"
87,"09B3-3","Ronde zegge en/of Rood schorpioenmos","Ronde zegge en veenmossen",147,,"4"
88,"09B3-4","Plat blaasjeskruid","Typische vorm",146,,"4"
89,"09A2-1","Kamvaren, veenmossen en Ronde zonnedauw","Typische vorm",135,,"5"
90,"09A2-2","Kamvaren, veenmossen en Ronde zonnedauw","Pijpenstrootje",136,,"5"
91,"09A2-3","Kamvaren, veenmossen en Ronde zonnedauw","Molinietalia-soorten",136,135,"5"
92,"09A2-4","Kamvaren, veenmossen en Ronde zonnedauw","veenpluis",136,122,"5"
93,"09-8","haarmossen","Dominantievorm van Gewoon haarmos",131,,"5"
94,"09-9","haarmossen","Pijpenstrootje",131,,"5"
95,"09-10","Pijpenstrootje","Typische vorm",128,,"5"
98,"09A3-1","Egelboterbloem en Zompzegge","Typische vorm",137,,"6"
100,"33-1","Grote brandnetel en Akkerdistel","Typische vorm.",552,,"8"
101,"32-1","Koninginnekruid","storingssoorten",539,,"3"
102,"32-2","Harig wilgenroosje (soortenarm)","Typische vorm",540,,"3"
103,"32-3","Haagwinde","Typische vorm",541,,"3"
104,"32-4","Rietgras","Typische vorm",543,,"3"
105,"32-5","Grote brandnetel","Typische vorm",544,,"3"
106,"09-11","Hennegras","Typische vorm",126,,"3"
107,"09-12","Natte Pitrusruigten","zure soorten",867,,"3"
108,"16-10","Natte Pitrusruigten","Riet-klassesoorten",875,,"3"
116,"16B1-1","Waterkruiskruid en Gewone dotterbloem","Typische vorm",312,,"8"
117,"16B1-2","Waterkruiskruid en Gewone dotterbloem","Verarmde vorm met Waterkruiskruid",312,,"8"
119,"16B1-3","Waterkruiskruid en Gewone dotterbloem","Blauwe zegge",316,,"8"
120,"16B1-4","Waterkruiskruid en Gewone dotterbloem","Moerastruisgras en Zwarte zegge",312,,"8"
121,"16B-1","Gevleugeld hertshooi en Rietorchis","Typische vorm",305,,"8"
122,"16-1","Engels raaigras","Typische vorm",283,,"8"
124,"16B-2","Kale jonker en/of Echte koekoeksbloem","Typische vorm",305,,"8"
126,"16-8","Kale jonker en/of Echte koekoeksbloem","Soortenarme vorm",274,,"8"
127,"16B-3","Kale jonker en/of Echte koekoeksbloem","zure soorten",305,,"8"
128,"16B-4","Kale jonker en/of Echte koekoeksbloem","Tweerijige zegge",307,,"8"
132,"16B1-6","Waterkruiskruid en Gewone dotterbloem","Scherpe zegge",317,,"8"
133,"16-9","Gewone dotterbloem en Fioringras","Typische vorm",274,,"8"
135,"16-2","Gestreepte witbol","Engels raaigras",282,,"8"
136,"16-3","Gestreepte witbol","Dominantievorm van Gestreepte witbol",282,,"8"
137,"16-4","Gestreepte witbol","Pitrus",875,,"8"
139,"16-5","Gewoon reukgras, Gewoon struisgras en Rood zwenkgra","Typische vorm",279,,"8"
141,"16-6","Gewoon reukgras, Gewoon struisgras en Rood zwenkgra","zure soorten",277,274,"8"
143,"16-7","Gewoon reukgras, Gewoon struisgras en Rood zwenkgra","schrale soorten",281,,"8"
146,"16B-5","Gestreepte witbol, Fioringras en natte storingssoorten","Dominantievorm van Liesgras",311,,"8"
147,"16B-6","Gestreepte witbol, Fioringras en natte storingssoorten","Dominantievorm van Rietgras",308,,"8"
148,"16-11","Gestreepte witbol, Fioringras en natte storingssoorten","Dominantievorm van Pitrus",875,,"8"
151,"16-12","Gest witbol of Eng raaigras en droge storingssoorten","Dominantievorm van Ridderzuring",284,,"8"
152,"16-13","Gest witbol of Eng raaigras en droge storingssoorten","Dominantievorm van Kweek",286,,"8"
153,"11B2-1","Hoogveenveenmos en Riet","Typische vorm",193,,"7"
154,"11B2-2","Hoogveenveenmos en Riet","Rood veenmos",193,,"7"
155,"11B2-3","Hoogveenveenmos en Riet","Pijpenstrootje",193,,"7"
157,"08C2-1","Scherpe zegge","Soortenarme vorm",723,,"3"
158,"08C2-2","Scherpe zegge","Typische vorm",113,,"3"
160,"08C2-3","Scherpe zegge","Tweerijige zegge",113,,"3"
161,"08C-1","Oeverzegge","Typische vorm",104,,"3"
162,"08C-2","Oeverzegge","Grazige vorm",104,,"3"
163,"08C-3","Moeraszegge","Soortenarme vorm",105,,"3"
164,"08C-4","Moeraszegge","Typische vorm",105,,"3"
165,"08C-5","Pluimzegge","Soortenarme vorm",106,,"3"
166,"08C-6","Pluimzegge","Typische vorm",106,,"3"
169,"08C5-1","Galigaan","Typische vorm",119,,"3"
170,"08C-7","Tweerijige zegge","Typische vorm",107,,"3"
174,"08C1-1","Hoge cyperzegge, Pluimzegge en Moerasvaren","Waterscheerling",109,,"3"
175,"08C1-2","Hoge cyperzegge, Pluimzegge en Moerasvaren","Slangenwortel",110,,"3"
176,"08C1-3","Hoge cyperzegge, Pluimzegge en Moerasvaren","Moerasvaren",111,103,"3"
178,"08C-8","Hoge cyperzegge, Pluimzegge en Moerasvaren","Pluimzegge",106,109,"3"
179,"08-1","Holpijp","Typische vorm",83,,"3"
181,"08-2","Riet met Klein kroos en/of Kikkerbeet","Typische vorm",78,,"3"
183,"08B3-1","Kleine lisdodde","Typische vorm",722,,"3"
184,"08-3","Grote lisdodde","Typische vorm",76,,"3"
185,"08-4","Grote egelskop","Typische vorm",80,,"3"
187,"08-6","Liesgras","Typische vorm",73,,"3"
189,"08-5","rietfacies","Typische vorm",78,,"3"
190,"08B3-3","Riet, Moeraswalstro en Moerasvaren","Moerasvaren",103,,"3"
191,"08B3-4","Riet, Moeraswalstro en Moerasvaren","Typische vorm",103,101,"3"
192,"08B3-5","Riet, Moeraswalstro en Moerasvaren","Kale jonker, moerasrolklaver en/of Echte koekoeksbl",102,103,"3"
193,"08B3-6","Riet, Moeraswalstro en Moerasvaren","Dominantievorm van Kleine lisdodde",722,,"3"
194,"08B3-7","Riet, Hennegras en Moerasstruisgras","Typische vorm",722,,"3"
195,"08B3-8","Riet, Hennegras en Moerasstruisgras","Pijpenstrootje",722,,"3"
196,"09-13","Riet, Hennegras en Moerasstruisgras","Hennegras",126,,"3"
197,"09A2-6","Riet met veenmossen","Typische vorm",135,,"5"
198,"09A2-7","Riet met veenmossen","Slangenwortel/ Waterdrieblad",135,,"5"
200,"09A2-8","Riet met veenmossen","Pijpenstrootje",136,,"5"
202,"09B-4","Riet, Paddenrus en Wateraardbei","Typische vorm",140,,"3"
203,"09B3-5","Riet, Paddenrus en Wateraardbei","Rood schorpioenmos en/of Ronde zegge en veenmossen",147,,"4"
204,"09B3-6","Riet, Paddenrus en Wateraardbei","Rood schorpioenmos en/of Ronde zegge",146,,"4"
205,"08C-9","Riet, Paddenrus en Wateraardbei","Verarmde vorm",108,,"3"
206,"08C2-4","Riet met grote zeggen","Scherpe zegge",723,,"3"
207,"08C-10","Riet met grote zeggen","Oeverzegge",104,,"3"
208,"08C-11","Riet met grote zeggen","Pluimzegge",106,,"3"
209,"08C-12","Riet met grote zeggen","Moeraszegge",105,,"3"
212,"08-7","Riet en grassen","Ruw beemdgras en/of Fioringras",78,,"3"
213,"32-6","Riet en Grote brandnetel","Typische vorm.",544,,"3"
214,"32-7","Riet en ruigtkruiden","Bitterzoet",542,,"3"
215,"32-8","Riet en ruigtkruiden","Koninginnekruid",539,,"3"
216,"32-9","Riet en ruigtkruiden","Haagwinde",541,,"3"
217,"32-10","Riet en ruigtkruiden","Rietgras",543,,"3"
218,"32B-1","Riet en Harig wilgenroosje","Typische vorm",795,,"3"
221,"32A1-1","Riet en Moerasspirea","Typische vorm",440,,"3"
223,"12B-1","Fioringras","Dominantievorm van Fioringras",204,,"8"
224,"12B-2","Fioringras en hooilandsoorten","Typische vorm",204,,"8"
227,"12B-3","Fioringras en natte soorten","Gewone waterbies",199,,"8"
230,"12B-4","Mannagras","Dominantievorm van Mannagras",752,,"8"
237,"29-1","Waterpeper en tandzaden","Dominantievorm van Waterpeper",502,,"8"
238,"29A1-1","Waterpeper en tandzaden","Typische vorm",503,,"8"
239,"300-1","Erven, paden, parkeerplaatsen","Erven, paden, parkeerplaatsen",396,,"12"
240,"50C-1","kale bodem","venige bodems",802,,"12"
241,"50A-1","Open water","Typische vorm",800,,"1"
242,"300-2","Niet gekarteerd","Niet gekarteerd",396,,"12"
243,"16A1-1","Spaanse ruiter, Blauwe zegge en Heidekartelblad","Typische vorm",299,,"9"
247,"19A1-1","Borstelgras","Typische vorm",354,346,"9"
248,"19A1-2","Borstelgras","Tandjesgras",354,353,"9"
249,"19A1-3","Borstelgras","Liggend walstro",354,,"9"
252,"16-14","Pijpenstrootje","Typische vorm",770,128,"9"
253,"19-1","Pijpenstrootje","Tandjesgras",347,292,"9"
254,"09-14","Pijpenstrootje","meer dan 10% zure soorten",128,292,"9"
255,"09-15","Pijpenstrootje","veenmossen",128,770,"9"
256,"16-15","Pijpenstrootje","Degradatievorm van Pijpenstrootje",770,347,"9"
257,"16A-2","Pijpenstrootje","veel Moerasstruisgras",294,133,"9"
258,"16A-3","Pijpenstrootje en Blauwe zegge","Typische vorm",292,,"9"
259,"16A-4","Pijpenstrootje en Blauwe zegge","meer dan 10% zure soorten",292,,"9"
260,"16A-5","Pijpenstrootje en Blauwe zegge","veel Moerasstruisgras",294,,"9"
261,"16A-6","Pijpenstrootje en Blauwe zegge","veel veenmos",770,,"9"
262,"16A-7","Pijpenstrootje en Blauwe zegge","Tandjesgras",292,,"9"
264,"06B2-1","Kleinste egelskop","Klein blaasjeskruid en Kransvederkruid",59,,"2"
265,"04-1","Gewoon kransblad","Typische vorm",10,,"2"
266,"01A2-1","kroossoorten","Klein, Bult- en/of Veelwortelig kroos",3,,"2"
270,"01-1","Kikkerbeet","Typische vorm",707,,"2"
